Year;Rank;Name;Citizenship;Country Code;Net Worth Billion;Age;Industry Aggregates;Selfmade;Generation of Inheritance;Type of Wealth;Industry;Relationship to Company;Gender;Source of Wealth;Sector;Company;Company type;Founding Date;Political Connection;GDP Currentus;Region;Notes;Notes 2;Deflator 1996;Real Net Worth;Characteristics
2015;810;Randall Rollins;United States;USA;2.3;83.0;Non-Traded Sectors;;;;Retail, Restaurant;;;Pest Control;;;;;;;North America;;;138.802093506;1.65703547001;North,Real Billionaires
2015;;Ray Lee Hunt;United States;USA;6.0;;Resource Related;;;;Energy;;;Oil, Real Estate;;;;;;;North America;;;138.802093506;4.32270145416;North,Real Billionaires
2015;;Reinfried Pohl, Jr.;Germany;DEU;1.0;;Financial;;;;Money Management;;;Mutual Funds;;;;;;;Europe;;;138.802093506;0.720450222492;North,Real Billionaires
2015;949;Renata de Camargo Nascimento;Brazil;BRA;2.0;64.0;Non-Traded Sectors;;;;Constrution;;;Construction;;;;;;;Latin America;;;138.802093506;1.44090044498;North,Real Billionaires
2015;418;Renate Reimann-Haas;Germany;DEU;4.0;63.0;Traded Sectors;;;;Consumer;;;Consumer Goods;;;;;;;Europe;;;138.802093506;2.88180088997;North,Real Billionaires
2015;;Richard Chilton Jr;United States;USA;1.2;;Financial;;;;Hedge funds;;;Hedge Funds;;;;;;;North America;;;138.802093506;0.864540278912;North,Real Billionaires
2015;;Richard Desmond;United Kingdom;GBR;1.7;;Non-Traded Sectors;;;;Media;;;Publishing;;;;;;;Europe;;;138.802093506;1.22476541996;North,Real Billionaires
2015;;Richard Li;Hong Kong;HKG;4.6;;Non-Traded Sectors;;;;Media;;;Telecoms;;;;;;;East Asia;;;138.802093506;3.31407094002;North,Real Billionaires
2015;1190;Robert Miller UK;United Kingdom;GBR;1.6;81.0;Non-Traded Sectors;;;;Retail, Restaurant;;;Retail;;;;;;;Europe;;;138.802093506;1.15272033215;North,Real Billionaires
2015;1054;Robert Pera;United States;USA;1.8;36.0;New Sectors;;;;Technology-Computer;;;Technology;;;;;;;North America;;;138.802093506;1.29681038857;North,Real Billionaires
2015;1415;Roger Penske;United States;USA;1.3;78.0;Traded Sectors;;;;Consumer;;;Cars;;;;;;;North America;;;138.802093506;0.936585307121;North,Real Billionaires
2015;;Roger Wang;United States;USA;3.5;;Non-Traded Sectors;;;;Retail, Restaurant;;;Retail;;;;;;;North America;;;138.802093506;2.52157568932;North,Real Billionaires
2015;;Ron Baron;United States;USA;2.2;;Financial;;;;Money Management;;;Money Management;;;;;;;North America;;;138.802093506;1.5849905014;North,Real Billionaires
2015;;Ruan Shuilong;China;CHN;1.6;;Traded Sectors;;;;Non-consumer industrial;;;Chemicals;;;;;;;East Asia;;;138.802093506;1.15272033215;North,Real Billionaires
2015;894;Russ Weiner;United States;USA;2.1;45.0;Traded Sectors;;;;Consumer;;;Energy Drinks;;;;;;;North America;;;138.802093506;1.5129455328;North,Real Billionaires
2015;;Ryan Graves;United States;USA;1.5;;Non-Traded Sectors;;;;Retail, Restaurant;;;Car Service;;;;;;;North America;;;138.802093506;1.08067536354;North,Real Billionaires
2015;;Saad Hariri;Lebanon;LBN;1.0;;Non-Traded Sectors;;;;Constrution;;;Construction, Investments;;;;;;;Middle East/North Africa;;;138.802093506;0.720450222492;North,Real Billionaires
2015;;Saif Al Ghurair;United Arab Emirates;ARE;2.9;;Financial;;;;Diversified financial;;;Diversified;;;;;;;Middle East/North Africa;;;138.802093506;2.08930563927;North,Real Billionaires
2015;;Saleh Kamel;Saudi Arabia;SAU;2.2;;Financial;;;;Diversified financial;;;Diversified;;;;;;;Middle East/North Africa;;;138.802093506;1.5849905014;North,Real Billionaires
2015;;Samuel Yin;Taiwan;Taiwan;3.9;;Financial;;;;Diversified financial;;;Diversified;;;;;;;East Asia;;;138.802093506;2.80975580215;North,Real Billionaires
2014;1154;Senapathy Gopalakrishnan & family;India;IND;1.5;58.0;New Sectors;;;;Technology-Computer;;;software;;;;;;2066902397330.0;South Asia;;;138.802093506;1.08067536354;North,Real Billionaires
2015;1533;Sergei Katsiev;Russia;RUS;1.2;57.0;Non-Traded Sectors;;;;Retail, Restaurant;;;Retail, Wholesale;;;;;;;Europe;;;138.802093506;0.864540278912;North,Real Billionaires
2015;;Sergey Brin;United States;USA;32.2;;New Sectors;;;;Technology-Computer;;;Google;;;;;;;North America;;;138.802093506;23.1984977722;North,Real Billionaires
2014;1154;Sergio Lins Andrade & family;Brazil;BRA;1.5;66.0;Non-Traded Sectors;;;;Constrution;;;construction;;;;;;2346118175190.0;Latin America;;;138.802093506;1.08067536354;North,Real Billionaires
2015;179;Silvio Berlusconi;Italy;ITA;7.4;78.0;Non-Traded Sectors;;;;Media;;;Media;;;;;;;Europe;;;138.802093506;5.33133172989;North,Real Billionaires
2014;141;Silvio Berlusconi & family;Italy;ITA;9.0;77.0;Non-Traded Sectors;;;;Media;;;media;;;;;;2144338185060.0;Europe;;;138.802093506;6.48405218124;North,Real Billionaires
2015;1741;Stefan von Holtzbrinck;Germany;DEU;1.0;51.0;Non-Traded Sectors;;;;Media;;;Publishing;;;;;;;Europe;;;138.802093506;0.720450222492;North,Real Billionaires
2015;99;Stefano Pessina;Italy;ITA;12.1;73.0;Non-Traded Sectors;;;;Retail, Restaurant;;;Drugstores;;;;;;;Europe;;;138.802093506;8.71744823456;North,Real Billionaires
2015;;Stein Erik Hagen;Norway;NOR;4.3;;Non-Traded Sectors;;;;Retail, Restaurant;;;Retail;;;;;;;Europe;;;138.802093506;3.09793591499;North,Real Billionaires
2014;281;Stein Erik Hagen & family;Norway;NOR;5.0;57.0;Non-Traded Sectors;;;;Retail, Restaurant;;;retail;;;;;;500103094419.0;Europe;;;138.802093506;3.60225105286;North,Real Billionaires
2015;435;Stephen Bechtel, Jr.;United States;USA;3.9;89.0;Non-Traded Sectors;;;;Constrution;;;Engineering, Construction;;;;;;;North America;;;138.802093506;2.80975580215;North,Real Billionaires
2014;408;Igor Kesaev;Russia;RUS;3.7;47.0;Non-Traded Sectors;self-made;;privatized and resources;Retail, Restaurant;founder;male;tobacco distribution, retail;cigarettes;Mercury Company;new;1991;1.0;;Europe;Various connections for controlling tobacco. In 2003 Kesaev became honorary president of Monolit, a nationwide fund for former security services officers.;;138.802093506;2.66566586494;North,Founder,Real Billionaires
